Rk,player_name,nation,position_1,position_2,Squad,Age,Born,matches_played,starts,minutes_played,90s_played,goals,assists,goal_contributions,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,expected_non_pen_goals,expected_assists,expected_non_pen_goal_contributions,progressive_carries,progressive_passes,progressive_passes_received
81,Max Bird,ENG,MF,,Bristol City,23.0,2000.0,46,43,3481,38.7,1,8,9,1,0,0,1,0,3.0,3.0,8.3,11.3,46,234,98
82,Colby Bishop,ENG,FW,,Portsmouth,27.0,1996.0,32,31,2629,29.2,11,3,14,8,3,4,3,0,13.9,10.7,1.9,12.7,8,49,117
83,Billy Blacker,ENG,MF,,Sheffield Utd,18.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
84,Corey Blackett-Taylor,ENG,FW,MF,Derby County,26.0,1997.0,12,4,404,4.5,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,27,6,32
85,Harvey Blair,ENG,FW,,Portsmouth,20.0,2003.0,12,3,294,3.3,1,0,1,1,0,0,3,0,0.9,0.9,0.0,1.0,7,1,13
86,Malachi Boateng,ENG,MF,,Plymouth Argyle,22.0,2002.0,7,1,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,3
87,Eric Bocat,FRA,DF,,Stoke City,25.0,1999.0,30,23,2041,22.7,0,1,1,0,0,0,1,0,0.8,0.8,1.1,1.9,55,90,83
88,Jayden Bogle,ENG,DF,,Leeds United,24.0,2000.0,44,44,3824,42.5,6,4,10,6,0,0,12,0,5.3,5.3,6.9,12.3,123,193,264
89,Jonathan Bond,ENG,GK,,Watford,31.0,1993.0,9,8,798,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
90,Neto Borges,BRA,DF,,Middlesbrough,27.0,1996.0,35,34,2891,32.1,1,3,4,1,0,0,4,0,1.4,1.4,2.2,3.6,54,71,187
91,Raphael Borges Rodrigues,AUS,MF,FW,Coventry City,20.0,2003.0,3,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0
92,Josh Bowler,ENG,FW,DF,Preston,25.0,1999.0,10,6,456,5.1,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,12,22,39
93,Josh Bowler,ENG,MF,FW,Luton Town,25.0,1999.0,8,0,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,8,9
94,Sonny Bradley,ENG,DF,,Derby County,32.0,1991.0,7,3,303,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,5,0
95,Tom Bradshaw,WAL,FW,,Oxford United,32.0,1992.0,11,4,359,4.0,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,2,4,10
96,Tom Bradshaw,WAL,FW,,Millwall,32.0,1992.0,11,4,450,5.0,1,0,1,0,1,1,0,0,2.4,1.6,0.0,1.6,2,2,17
97,Robbie Brady,IRL,DF,FW,Preston,32.0,1992.0,29,17,1638,18.2,0,4,4,0,0,0,8,0,1.3,1.3,5.7,7.0,32,95,71
98,Cohen Bramall,ENG,DF,FW,Portsmouth,28.0,1996.0,12,4,460,5.1,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,15,16,15
99,Cameron Brannagan,ENG,MF,,Oxford United,28.0,1996.0,33,33,2900,32.2,3,4,7,3,0,0,10,0,1.7,1.7,2.3,4.0,20,100,29
100,Ben Brereton,CHI,FW,MF,Sheffield Utd,25.0,1999.0,17,13,984,10.9,4,3,7,4,0,0,4,0,4.2,4.2,1.4,5.6,25,36,60
101,Rhian Brewster,ENG,MF,FW,Sheffield Utd,24.0,2000.0,36,16,1558,17.3,4,3,7,4,0,0,2,0,4.3,4.3,3.0,7.3,19,59,72
102,Callum Brittain,ENG,DF,,Blackburn,26.0,1998.0,33,30,2659,29.5,2,5,7,2,0,0,5,0,1.1,1.1,4.5,5.6,63,90,142
103,Andre Brooks,ENG,FW,MF,Sheffield Utd,20.0,2003.0,22,10,951,10.6,3,2,5,3,0,0,3,0,3.0,3.0,2.6,5.6,28,18,106
104,Ciaron Brown,NIR,DF,,Oxford United,26.0,1998.0,41,41,3611,40.1,4,3,7,4,0,0,6,0,1.9,1.9,1.6,3.5,30,90,20
105,Dajaune Brown,JAM,FW,,Derby County,18.0,2005.0,15,3,387,4.3,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.7,0,1,11
106,Jacob Brown,SCO,FW,MF,Luton Town,26.0,1998.0,29,11,1217,13.5,4,1,5,4,0,0,4,0,3.8,3.8,1.2,5.0,19,17,61
107,Alan Browne,IRL,MF,DF,Sunderland,29.0,1995.0,22,13,1212,13.5,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.8,16,29,52
108,Josh Brownhill,ENG,MF,FW,Burnley,28.0,1995.0,42,39,3474,38.6,18,6,24,15,3,3,5,0,9.9,7.5,4.4,12.0,33,165,145
109,Joe Bryan,ENG,DF,,Millwall,30.0,1993.0,39,37,3275,36.4,1,1,2,1,0,0,8,0,1.3,1.3,3.8,5.2,33,165,73
110,Solomon Brynn,ENG,GK,,Middlesbrough,23.0,2000.0,6,6,509,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
111,John Buckley,ENG,MF,,Blackburn,24.0,1999.0,23,8,855,9.5,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.5,8,49,5
112,Mustapha Bundu,SLE,FW,MF,Plymouth Argyle,27.0,1997.0,37,27,2302,25.6,10,6,16,10,0,0,4,0,5.5,5.5,5.8,11.3,40,50,128
113,Wouter Burger,NED,MF,,Stoke City,23.0,2001.0,39,37,3002,33.4,1,1,2,1,0,0,10,0,1.9,1.9,2.5,4.5,21,147,38
114,Delano Burgzorg,SUR,FW,MF,Middlesbrough,25.0,1998.0,42,23,2187,24.3,5,2,7,4,1,1,2,0,7.8,7.0,2.0,9.0,70,60,192
115,Reece Burke,ENG,DF,,Luton Town,27.0,1996.0,17,10,852,9.5,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.7,9,32,13
116,Finley Burns,ENG,DF,MF,Hull City,21.0,2003.0,9,4,311,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1
117,Harrison Burrows,ENG,DF,,Sheffield Utd,22.0,2002.0,43,39,3460,38.4,5,3,8,3,2,2,2,0,3.8,2.3,5.8,8.0,65,105,197
118,Mason Burstow,ENG,FW,MF,Hull City,20.0,2003.0,31,8,953,10.6,2,1,3,2,0,0,1,0,2.0,2.0,1.2,3.3,16,28,70
119,Sam Byram,ENG,DF,,Leeds United,30.0,1993.0,36,16,1409,15.7,1,1,2,1,0,0,4,0,0.8,0.8,1.0,1.9,25,75,100
120,Ben Cabango,WAL,DF,,Swansea City,24.0,2000.0,45,45,4032,44.8,2,1,3,2,0,0,9,0,2.6,2.6,0.7,3.2,31,214,13
121,Tyrese Campbell,ENG,FW,,Sheffield Utd,24.0,1999.0,33,20,1580,17.6,10,1,11,10,0,0,2,0,8.4,8.4,2.7,11.1,34,24,113
122,Thomas Cannon,IRL,FW,,Stoke City,21.0,2002.0,22,22,1857,20.6,9,1,10,6,3,4,3,0,9.0,5.9,0.9,6.8,14,18,78
123,Thomas Cannon,IRL,FW,,Sheffield Utd,21.0,2002.0,15,7,682,7.6,1,1,2,1,0,0,0,0,1.7,1.7,1.1,2.8,5,3,36
124,Todd Cantwell,ENG,MF,FW,Blackburn,26.0,1998.0,37,27,2479,27.5,3,7,10,1,2,2,6,0,4.3,2.7,7.0,9.7,57,135,127
125,Theo Carroll,ENG,MF,,Preston,17.0,2007.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
126,Hayden Carter,ENG,DF,,Blackburn,24.0,1999.0,16,16,1363,15.1,0,1,1,0,0,0,5,0,0.5,0.5,0.8,1.3,14,42,27
127,Eiran Cashin,IRL,DF,,Derby County,22.0,2001.0,21,21,1786,19.8,1,0,1,1,0,0,5,0,1.8,1.8,0.4,2.2,8,57,9
128,Žan Celar,SVN,FW,,QPR,25.0,1999.0,19,10,944,10.5,2,0,2,2,0,1,1,0,4.2,3.4,0.3,3.6,5,8,36
129,Ilias Chair,MAR,MF,FW,QPR,26.0,1997.0,28,20,1698,18.9,2,6,8,2,0,0,2,0,2.9,2.9,4.5,7.4,53,82,82
130,Giorgi Chakvetadze,GEO,MF,FW,Watford,24.0,1999.0,39,37,3281,36.5,2,6,8,2,0,0,6,0,3.7,3.7,8.0,11.7,209,205,197
131,Nathaniel Chalobah,ENG,MF,,Sheffield Weds,29.0,1994.0,16,4,444,4.9,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,5,23,1
132,Calum Chambers,ENG,DF,MF,Cardiff City,29.0,1995.0,41,41,3513,39.0,2,1,3,2,0,0,8,1,1.5,1.5,1.4,2.9,13,162,36
133,Samuel Chambers,ENG,FW,,Leeds United,16.0,2007.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2
134,Pierce Charles,NIR,GK,,Sheffield Weds,19.0,2005.0,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
135,Shea Charles,NIR,MF,DF,Sheffield Weds,20.0,2003.0,43,42,3631,40.3,1,5,6,1,0,0,10,0,2.0,2.0,4.0,6.1,56,207,66
136,Tawanda Chirewa,ZIM,MF,,Derby County,20.0,2003.0,5,1,151,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,7
137,Tahith Chong,CUW,MF,DF,Luton Town,24.0,1999.0,30,24,2026,22.5,2,1,3,2,0,0,5,0,2.3,2.3,1.8,4.2,63,56,119
138,Hamza Choudhury,BAN,MF,DF,Sheffield Utd,26.0,1997.0,16,13,1105,12.3,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,3,43,10
139,Benjamin Chrisene,ENG,DF,,Norwich City,20.0,2004.0,26,12,1150,12.8,1,0,1,1,0,0,2,0,0.9,0.9,1.8,2.7,29,42,51
140,Cyrus Christie,IRL,DF,,Swansea City,31.0,1992.0,11,2,282,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,12,3
141,Dennis Cirkin,ENG,DF,,Sunderland,22.0,2002.0,36,30,2740,30.4,3,2,5,3,0,0,6,0,1.9,1.9,2.2,4.1,73,127,135
142,Ibrahim Cissoko,NED,FW,MF,Plymouth Argyle,21.0,2003.0,13,9,661,7.3,3,1,4,3,0,0,2,1,1.5,1.5,0.8,2.3,39,20,74
143,Ibrahim Cissoko,NED,FW,MF,Sheffield Weds,21.0,2003.0,5,0,56,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,9
144,Jordan Clark,ENG,MF,,Luton Town,30.0,1993.0,40,37,3235,35.9,6,6,12,6,0,0,10,0,3.3,3.3,6.1,9.4,49,138,94
145,Harry Clarke,ENG,DF,,Sheffield Utd,23.0,2001.0,6,6,472,5.2,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.4,7,21,11
146,Jack Clarke,ENG,FW,,Sunderland,23.0,2000.0,2,2,179,2.0,1,1,2,1,0,0,0,0,0.1,0.1,1.1,1.2,6,3,13
147,Matthew Clarke,ENG,DF,,Derby County,27.0,1996.0,16,15,1366,15.2,1,0,1,1,0,0,2,0,1.6,1.6,1.8,3.4,3,35,3
148,Matthew Clarke,ENG,DF,,Middlesbrough,27.0,1996.0,14,12,1112,12.4,2,0,2,2,0,0,0,0,0.5,0.5,0.1,0.6,9,46,3
149,Jake Clarke-Salter,ENG,DF,,QPR,26.0,1997.0,11,8,753,8.4,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.3,1,23,0
150,Josh Coburn,ENG,MF,,Middlesbrough,21.0,2002.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
151,Josh Coburn,ENG,FW,,Millwall,21.0,2002.0,20,14,1218,13.5,5,0,5,5,0,1,0,0,6.2,5.4,1.3,6.7,10,7,51
152,Jack Colback,ENG,MF,,QPR,34.0,1989.0,24,16,1449,16.1,1,1,2,1,0,0,8,1,0.5,0.5,0.2,0.7,3,40,18
153,Devante Cole,ENG,FW,MF,West Brom,29.0,1995.0,14,0,163,1.8,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,3,4,11
154,Bradley Collins,ENG,GK,,Coventry City,27.0,1997.0,15,14,1313,14.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
155,James Collins,IRL,FW,MF,Derby County,33.0,1990.0,17,1,222,2.5,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,1,8,13
156,Jamilu Collins,NGA,DF,,Cardiff City,29.0,1994.0,3,2,165,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,6
157,Rubin Colwill,WAL,MF,FW,Cardiff City,22.0,2002.0,43,24,2522,28.0,1,4,5,1,0,0,3,0,4.0,4.0,4.3,8.4,91,139,167
158,Aaron Connolly,IRL,FW,MF,Sunderland,24.0,2000.0,10,2,246,2.7,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,1,9
159,Aaron Connolly,IRL,FW,MF,Millwall,24.0,2000.0,14,6,659,7.3,1,0,1,1,0,1,3,0,1.6,0.8,1.0,1.8,13,16,43
160,Tommy Conway,SCO,FW,MF,Middlesbrough,21.0,2002.0,36,27,2357,26.2,13,1,14,11,2,4,1,0,12.3,9.1,1.5,10.6,51,44,208
161,Steve Cook,ENG,DF,,QPR,33.0,1991.0,31,31,2617,29.1,2,0,2,2,0,0,4,0,1.5,1.5,0.3,1.8,10,62,7
162,Jake Cooper,ENG,DF,,Millwall,29.0,1995.0,36,36,3195,35.5,3,1,4,3,0,0,4,0,2.7,2.7,0.5,3.2,6,67,15
163,Michael Cooper,ENG,GK,,Sheffield Utd,24.0,1999.0,43,43,3870,43.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0
164,Oliver Cooper,WAL,MF,FW,Swansea City,24.0,1999.0,28,10,1042,11.6,1,1,2,1,0,0,0,0,0.6,0.6,1.7,2.3,29,36,54
165,José Cordoba,PAN,DF,,Norwich City,23.0,2001.0,34,24,2103,23.4,1,0,1,1,0,0,4,1,0.7,0.7,0.4,1.1,7,62,4
166,David Cornell,WAL,GK,,Preston,33.0,1991.0,10,9,811,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
167,Harry Cornick,ENG,FW,MF,Bristol City,29.0,1995.0,3,0,38,0.4,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,4,1
168,Lewie Coyle,ENG,DF,,Hull City,28.0,1995.0,44,42,3717,41.3,1,2,3,1,0,0,6,0,1.1,1.1,3.7,4.7,110,185,110
169,Amario Cozier-Duberry,ENG,FW,MF,Blackburn,19.0,2005.0,22,6,723,8.0,1,0,1,1,0,0,0,0,1.0,1.0,0.5,1.5,35,26,38
170,Tristan Crama,FRA,DF,,Millwall,22.0,2001.0,20,18,1634,18.2,0,2,2,0,0,0,1,0,0.9,0.9,2.6,3.6,25,44,69
171,Charlie Crew,WAL,MF,,Leeds United,18.0,2006.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
172,Ante Crnac,CRO,FW,,Norwich City,20.0,2003.0,38,29,2495,27.7,7,4,11,7,0,0,2,0,5.5,5.5,4.7,10.2,37,36,100
173,Matt Crooks,ENG,MF,FW,Hull City,30.0,1994.0,18,9,789,8.8,3,0,3,3,0,0,4,1,2.7,2.7,0.5,3.2,11,30,24
174,Josh Cullen,IRL,MF,,Burnley,28.0,1996.0,44,43,3801,42.2,2,3,5,2,0,0,11,0,1.6,1.6,2.6,4.3,23,218,53
